date,open,close,high,low,amount
2021-04-06,46.11,46.77,46.89,45.56,62213.57
2021-04-07,46.47,45.86,46.55,45.02,87343.29
2021-04-08,45.65,45.78,46.34,45.29,71270.92
2021-04-09,46.22,45.03,46.22,44.48,71576.76
2021-04-12,44.5,44.45,45.23,43.55,104126.65
2021-04-13,44.19,44.06,44.65,43.77,65773.21
2021-04-14,44.08,44.68,44.89,43.7,72084.09
2021-04-15,44.67,44.94,45.06,44.35,39672.43
2021-04-16,45.11,44.73,45.65,44.58,49650.18
2021-04-19,44.84,47.03,47.19,44.84,135324.42
2021-04-20,47.02,47.7,49.46,47.02,154089.66
2021-04-21,47.5,47.05,47.96,46.54,74652.64
2021-04-22,47.32,48.12,48.57,47.16,87749.78
2021-04-23,47.87,48.03,48.49,47.54,57958.66
2021-04-26,48.09,47.22,48.95,47.01,77310.9
2021-04-27,48.05,49.13,49.56,48.0,156721.15
2021-04-28,48.97,50.81,50.83,48.26,176873.43
2021-04-29,50.53,51.48,51.54,49.3,150884.85
2021-04-30,51.17,50.0,51.46,49.95,78159.34
2021-05-06,49.96,48.98,49.96,48.14,72125.26
2021-05-07,48.98,47.32,49.22,47.15,74691.12
2021-05-10,47.59,46.49,47.99,46.05,68277.64
2021-05-11,46.01,46.24,46.38,45.52,62853.96
2021-05-12,46.09,46.38,46.53,45.49,59224.94
2021-05-13,46.11,45.72,46.22,45.43,50663.17
2021-05-14,45.6,47.48,47.63,45.35,100854.61
2021-05-17,47.0,48.26,49.46,46.94,99531.34
2021-05-18,48.25,48.42,48.71,47.39,51559.75
2021-05-19,48.42,48.86,49.05,47.3,78191.67
2021-05-20,48.86,50.1,50.61,48.47,104331.61
2021-05-21,50.28,48.42,50.56,48.14,81014.23
2021-05-24,48.96,49.98,50.07,48.73,78865.42
2021-05-25,49.98,53.64,53.8,49.63,210197.41
2021-05-26,53.89,52.91,54.77,52.54,131375.91
2021-05-27,52.87,51.76,53.31,51.26,135297.63
2021-05-28,51.48,51.0,51.71,50.16,121244.02
2021-05-31,50.98,51.1,51.33,50.34,121745.33
2021-06-01,50.63,49.96,51.15,49.5,130512.53
2021-06-02,50.13,48.52,50.22,48.2,159206.08
2021-06-03,48.69,47.74,48.86,47.64,113836.98
2021-06-04,47.59,47.8,48.6,47.32,126589.3
2021-06-07,47.86,48.24,48.35,47.54,105226.82
2021-06-08,48.36,48.53,48.69,47.78,100292.76
2021-06-09,48.42,48.42,48.84,48.02,71734.54
2021-06-10,47.8,48.39,48.86,47.8,111616.19
2021-06-11,48.39,47.76,48.96,47.25,129368.66
2021-06-15,47.33,49.3,49.52,47.24,172745.71
2021-06-16,48.97,48.17,50.0,47.87,127702.55
2021-06-17,47.81,48.14,48.82,47.7,76628.11
2021-06-18,48.03,46.55,48.61,46.14,171412.26
2021-06-21,46.55,47.41,48.3,46.28,173542.14
2021-06-22,47.32,48.41,49.1,46.82,129173.2
2021-06-23,48.41,47.55,48.55,47.32,115266.28
2021-06-24,47.68,46.83,47.8,46.77,77695.05
2021-06-25,46.83,47.36,47.55,46.44,100097.42
2021-06-28,47.45,47.44,47.7,46.71,90470.81
2021-06-29,47.84,50.41,50.55,47.84,315033.62
2021-06-30,50.02,50.75,51.27,49.52,155501.76
2021-07-01,50.78,50.47,51.07,49.49,126764.54
2021-07-02,50.07,49.42,50.07,49.3,115328.93
2021-07-05,48.41,46.71,48.41,46.33,299601.57
2021-07-06,46.71,46.34,47.17,45.94,118350.73
2021-07-07,46.43,45.88,46.49,45.61,123979.08
2021-07-08,46.0,45.82,46.25,45.61,119316.77
2021-07-09,45.7,45.71,45.83,44.79,118746.39
2021-07-12,46.05,46.48,46.69,45.76,133178.68
2021-07-13,46.55,47.1,47.28,46.33,91488.85
2021-07-14,47.28,47.14,47.8,46.55,89505.06
2021-07-15,46.77,47.04,47.31,46.34,65081.24
2021-07-16,48.41,48.09,49.93,47.57,169762.73
2021-07-19,47.26,46.89,47.28,45.76,141040.9
2021-07-20,46.87,46.89,46.89,46.33,78196.08
2021-07-21,47.02,47.86,48.66,46.97,161240.63
2021-07-22,48.18,47.66,48.55,47.56,124977.07
2021-07-23,47.6,46.07,48.0,45.82,167232.93
2021-07-26,45.87,44.7,46.41,43.87,170924.61
2021-07-27,45.03,40.49,45.16,40.19,439404.55
2021-07-28,39.72,39.94,40.72,38.93,244170.01
2021-07-29,40.76,40.85,41.58,40.55,164231.46
2021-07-30,40.79,42.42,42.5,40.17,157914.91
2021-08-02,41.83,41.97,43.24,41.45,170600.27
2021-08-03,42.39,41.99,42.49,41.56,118735.33
2021-08-04,42.31,42.1,42.59,41.78,99065.44
2021-08-05,42.06,40.81,42.06,40.42,150328.46
2021-08-06,40.82,39.73,41.05,39.33,201208.74
2021-08-09,39.33,41.42,41.5,39.32,162459.23
2021-08-10,41.06,41.35,41.48,40.49,96612.82
2021-08-11,41.11,40.78,41.51,40.6,137692.55
2021-08-12,40.64,40.21,41.19,40.03,139751.13
2021-08-13,40.18,39.13,40.43,39.06,177814.48
2021-08-16,39.03,39.33,39.69,38.7,128928.95
2021-08-17,39.4,38.82,39.48,37.94,184079.87
2021-08-18,38.53,40.37,41.09,38.09,303066.58
2021-08-19,40.55,42.46,43.01,40.55,384107.54
2021-08-20,42.26,40.71,42.63,39.79,220385.03
2021-08-23,40.53,42.12,43.24,40.53,248853.5
2021-08-24,42.53,42.39,43.09,41.68,180261.02
2021-08-25,42.55,43.38,43.79,42.33,190853.83
2021-08-26,43.33,41.29,43.33,41.08,211045.15
2021-08-27,41.23,39.68,41.26,39.33,233780.11
2021-08-30,39.33,38.03,39.58,36.81,286713.65
2021-08-31,37.64,37.69,38.13,36.61,200282.23
2021-09-01,37.97,38.24,38.87,36.87,272679.18
2021-09-02,38.41,37.31,39.16,37.09,274212.77
2021-09-03,40.33,41.09,41.09,40.28,331924.33
2021-09-06,43.03,44.58,45.01,41.09,704430.93
2021-09-07,45.72,45.23,45.95,44.64,439807.71
2021-09-08,45.72,45.71,47.05,44.84,399609.28
2021-09-09,44.95,42.72,45.54,42.53,387734.02
2021-09-10,43.36,43.2,44.6,42.78,393118.7
2021-09-13,43.45,43.89,45.29,42.55,375237.83
2021-09-14,44.41,41.93,44.41,41.79,336352.77
2021-09-15,41.95,41.44,42.26,40.64,182048.14
2021-09-16,40.95,40.79,41.3,40.5,140967.17
2021-09-17,40.78,41.71,41.86,40.69,126129.36
2021-09-22,41.03,40.65,41.66,40.37,116469.57
2021-09-23,40.87,41.39,41.76,40.66,146584.88
2021-09-24,41.4,41.61,41.95,41.01,128298.98
2021-09-27,41.37,41.89,42.96,41.33,165619.7
2021-09-28,42.26,42.26,42.49,40.96,136414.86
2021-09-29,41.87,41.68,42.1,40.33,158034.86
2021-09-30,41.68,43.63,44.39,41.33,201783.11
2021-10-08,43.68,44.76,44.95,43.43,166172.72
2021-10-11,44.31,43.22,44.75,43.17,143064.31
2021-10-12,43.26,43.26,43.79,42.56,107047.25
2021-10-13,43.18,43.76,44.01,42.24,99082.83
2021-10-14,42.74,43.49,44.09,42.74,71803.78
2021-10-15,43.41,44.27,44.48,43.11,151693.75
2021-10-18,44.24,43.49,44.56,42.69,109828.23
2021-10-19,43.53,45.15,47.88,43.25,429295.65
2021-10-20,45.15,44.06,45.63,43.95,181890.84
2021-10-21,44.06,43.49,44.71,43.32,103240.78
