# A-share company announcements for 600570.SH

公告日期,公告类型,公告标题,网址
2026-03-28,全部,恒生电子股份有限公司关于召开2025年年度股东会的通知,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225048427&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于第九届第九次董事会会议决议的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225048316&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,天健会计师事务所（特殊普通合伙）关于恒生电子股份有限公司2025年度审计报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046202&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于2025年度利润分配预案的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046322&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于公司申请2026年度综合授信额度的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046380&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司董事及高级管理人员薪酬管理制度,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046418&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,天健会计师事务所（特殊普通合伙）关于恒生电子股份有限公司2025年度非经营性资金占用及其他关联资金往来情况的专项审计说明,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046716&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于公司证券投资及委托理财总体规划的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046819&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046858&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年度内部控制评价报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225046894&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年度年审会计师履职情况评估报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047044&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年度独立董事述职报告（周淳）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047059&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于独立董事2025年度保持独立性情况的专项意见,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047089&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于变更公司注册资本并修订《公司章程》的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047120&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司董事会审计委员会2025年度履职情况报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047142&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司章程（2026年3月修订）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047362&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,天健会计师事务所（特殊普通合伙）关于恒生电子股份有限公司2025年度内部控制审计报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047414&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年度独立董事述职报告（刘霄仑-已离任）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047439&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司关于续聘会计师事务所的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047477&orgId=gssh0600570&announcementTime=2026-03-28
2026-03-28,全部,恒生电子股份有限公司2025年度独立董事述职报告（汪祥耀）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1225047489&orgId=gssh0600570&announcementTime=2026-03-28
