# A-share price data for 600570.SH from 2024-01-01 to 2024-05-10
# Records: 83

Date,Open,High,Low,Close,Amount,PctChange
2024-01-02,28.92,28.97,27.91,27.95,221371.0,
2024-01-03,27.94,27.94,26.48,27.01,366391.0,-3.3631
2024-01-04,26.78,26.82,25.47,25.75,485268.0,-4.6649
2024-01-05,25.74,26.06,25.39,25.61,247274.0,-0.5437
2024-01-08,25.37,25.53,24.75,24.79,278548.0,-3.2019
2024-01-09,24.89,25.25,24.47,24.76,217169.0,-0.121
2024-01-10,24.67,24.87,24.2,24.46,191851.0,-1.2116
2024-01-11,24.37,24.89,24.37,24.79,239279.0,1.3491
2024-01-12,24.65,24.84,24.47,24.56,187041.0,-0.9278
2024-01-15,24.42,24.76,24.21,24.37,174721.0,-0.7736
2024-01-16,24.26,24.45,23.91,24.44,206706.0,0.2872
2024-01-17,24.3,24.32,23.67,23.67,207593.0,-3.1506
2024-01-18,23.47,24.38,23.23,24.28,311407.0,2.5771
2024-01-19,24.16,24.26,23.86,23.93,172900.0,-1.4415
2024-01-22,23.82,24.04,22.77,22.97,263229.0,-4.0117
2024-01-23,22.97,23.83,22.83,23.67,261311.0,3.0475
2024-01-24,24.06,24.52,22.98,24.27,352420.0,2.5349
2024-01-25,24.07,24.63,23.64,24.45,414441.0,0.7417
2024-01-26,24.26,24.5,23.97,24.06,260570.0,-1.5951
2024-01-29,24.07,24.07,22.42,22.48,570455.0,-6.5669
2024-01-30,22.31,22.73,21.71,21.74,304765.0,-3.2918
2024-01-31,21.69,21.87,20.56,20.81,444422.0,-4.2778
2024-02-01,20.74,21.43,20.42,20.8,362124.0,-0.0481
2024-02-02,20.9,21.19,19.1,19.82,446171.0,-4.7115
2024-02-05,19.7,19.81,18.37,19.07,480875.0,-3.7841
2024-02-06,18.97,20.53,18.8,20.41,483398.0,7.0267
2024-02-07,20.41,21.13,20.35,20.67,465557.0,1.2739
2024-02-08,20.85,21.56,20.75,21.52,466094.0,4.1122
2024-02-19,22.01,22.21,21.37,22.04,446850.0,2.4164
2024-02-20,21.82,21.9,21.53,21.84,270266.0,-0.9074
2024-02-21,21.67,23.22,21.53,22.41,479616.0,2.6099
2024-02-22,22.45,23.03,22.37,22.94,359502.0,2.365
2024-02-23,22.97,23.08,22.67,23.03,322681.0,0.3923
2024-02-26,23.0,23.43,22.76,23.04,319234.0,0.0434
2024-02-27,22.88,24.15,22.85,24.15,514056.0,4.8177
2024-02-28,24.29,25.01,23.07,23.07,656755.0,-4.472
2024-02-29,22.83,24.4,22.83,24.19,481399.0,4.8548
2024-03-01,24.17,25.17,24.02,25.0,631156.0,3.3485
2024-03-04,25.27,25.32,24.33,24.56,468590.0,-1.76
2024-03-05,24.38,24.5,23.84,24.1,391527.0,-1.873
2024-03-06,23.92,24.24,23.41,23.88,343300.0,-0.9129
2024-03-07,24.0,24.06,23.0,23.02,363598.0,-3.6013
2024-03-08,23.02,24.14,22.75,23.79,377909.0,3.3449
2024-03-11,23.52,24.03,23.22,24.02,354228.0,0.9668
2024-03-12,24.02,24.31,23.87,24.27,364163.0,1.0408
2024-03-13,24.3,24.67,24.09,24.21,420409.0,-0.2472
2024-03-14,24.18,24.18,23.45,23.88,381672.0,-1.3631
2024-03-15,23.75,23.92,23.23,23.85,318536.0,-0.1256
2024-03-18,23.81,24.75,23.79,24.75,508061.0,3.7736
2024-03-19,24.72,24.83,24.38,24.41,311532.0,-1.3737
2024-03-20,24.41,24.97,24.34,24.73,390984.0,1.3109
2024-03-21,24.95,26.07,24.92,25.2,757619.0,1.9005
2024-03-22,25.12,25.17,24.19,24.64,534863.0,-2.2222
2024-03-25,24.94,25.03,23.65,23.7,415082.0,-3.8149
2024-03-26,23.57,23.8,22.96,23.2,327206.0,-2.1097
2024-03-27,23.12,23.17,21.79,21.85,389174.0,-5.819
2024-03-28,21.77,22.7,21.68,22.51,329557.0,3.0206
2024-03-29,22.51,22.51,21.97,22.33,217141.0,-0.7996
2024-04-01,22.52,23.05,22.48,23.04,272310.0,3.1796
2024-04-02,22.97,22.99,22.55,22.69,231767.0,-1.5191
2024-04-03,22.63,22.85,21.97,22.0,399721.0,-3.041
2024-04-08,21.77,21.84,21.13,21.14,395269.0,-3.9091
2024-04-09,21.27,21.45,21.03,21.29,208857.0,0.7096
2024-04-10,21.22,21.23,20.47,20.63,266833.0,-3.1
2024-04-11,20.51,20.97,20.45,20.64,215387.0,0.0485
2024-04-12,20.64,20.83,20.23,20.29,200133.0,-1.6957
2024-04-15,20.38,21.15,20.13,20.79,329643.0,2.4643
2024-04-16,20.75,21.15,20.17,20.23,264631.0,-2.6936
2024-04-17,20.36,20.87,20.36,20.8,291921.0,2.8176
2024-04-18,20.67,21.32,20.37,20.76,339345.0,-0.1923
2024-04-19,20.55,20.6,19.99,20.08,315283.0,-3.2755
2024-04-22,19.77,20.52,19.5,20.34,300021.0,1.2948
2024-04-23,20.35,20.56,20.19,20.32,171269.0,-0.0983
2024-04-24,20.41,20.56,20.21,20.55,207522.0,1.1319
2024-04-25,21.19,21.21,20.17,20.22,360911.0,-1.6058
2024-04-26,20.32,21.35,20.28,21.28,549986.0,5.2423
2024-04-29,21.17,22.24,21.1,22.02,562579.0,3.4774
2024-04-30,21.57,21.57,20.35,20.38,810590.0,-7.4478
2024-05-06,20.81,21.54,20.77,20.98,572531.0,2.9441
2024-05-07,20.97,21.26,20.75,21.05,269985.0,0.3337
2024-05-08,20.91,20.91,20.49,20.56,289682.0,-2.3278
2024-05-09,20.54,21.24,20.53,21.02,291323.0,2.2374
2024-05-10,21.01,21.2,20.64,20.86,214065.0,-0.7612
