# A-share price data for 600570.SH from 2025-01-01 to 2025-12-31
# Records: 243

Date,Open,High,Low,Close,Amount,PctChange
2025-01-02,27.58,27.72,25.6,26.32,624820.0,
2025-01-03,26.4,26.64,25.21,25.26,409953.0,-4.0274
2025-01-06,25.23,25.56,24.88,25.06,314142.0,-0.7918
2025-01-07,25.15,25.51,24.91,25.5,277218.0,1.7558
2025-01-08,25.42,25.62,24.53,25.27,343518.0,-0.902
2025-01-09,25.09,25.55,25.07,25.32,198036.0,0.1979
2025-01-10,25.31,25.66,24.8,24.8,210878.0,-2.0537
2025-01-13,24.64,25.38,24.4,25.18,250640.0,1.5323
2025-01-14,25.4,26.6,25.22,26.56,412659.0,5.4805
2025-01-15,26.52,26.56,26.12,26.2,229303.0,-1.3554
2025-01-16,26.54,26.87,25.79,25.98,268757.0,-0.8397
2025-01-17,25.82,26.35,25.76,26.05,211600.0,0.2694
2025-01-20,26.47,26.56,26.03,26.09,222675.0,0.1536
2025-01-21,26.6,26.67,26.01,26.3,210388.0,0.8049
2025-01-22,26.28,26.3,25.85,26.01,182566.0,-1.1027
2025-01-23,26.6,27.39,26.2,26.2,425675.0,0.7305
2025-01-24,26.12,26.59,26.01,26.39,269267.0,0.7252
2025-01-27,26.75,26.84,25.83,25.84,257915.0,-2.0841
2025-02-05,26.7,27.98,26.61,27.14,618091.0,5.031
2025-02-06,27.2,28.75,26.79,28.37,571481.0,4.5321
2025-02-07,28.4,30.55,28.3,30.05,1008179.0,5.9217
2025-02-10,30.5,30.86,29.71,30.66,773001.0,2.03
2025-02-11,30.66,32.25,30.02,31.1,989058.0,1.4351
2025-02-12,31.4,32.8,31.24,32.79,1120420.0,5.4341
2025-02-13,32.3,32.83,31.82,32.1,852781.0,-2.1043
2025-02-14,32.05,35.32,32.05,34.86,1723339.0,8.5981
2025-02-17,35.2,37.08,33.6,34.53,2022640.0,-0.9466
2025-02-18,34.32,34.91,32.58,32.64,1313665.0,-5.4735
2025-02-19,32.9,33.66,32.6,33.48,894054.0,2.5735
2025-02-20,33.27,34.1,32.8,32.92,656952.0,-1.6726
2025-02-21,33.81,35.18,32.96,34.98,1300940.0,6.2576
2025-02-24,34.68,34.98,33.38,33.81,922056.0,-3.3448
2025-02-25,32.46,33.36,32.25,32.63,702203.0,-3.4901
2025-02-26,32.9,33.33,32.35,33.1,543129.0,1.4404
2025-02-27,33.05,33.1,31.6,32.27,613009.0,-2.5076
2025-02-28,32.27,32.45,30.3,30.45,645413.0,-5.6399
2025-03-03,30.45,31.31,29.96,30.6,431743.0,0.4926
2025-03-04,30.29,31.07,30.2,30.85,322400.0,0.817
2025-03-05,30.9,31.15,30.6,30.83,306721.0,-0.0648
2025-03-06,31.8,32.75,31.21,32.23,706269.0,4.541
2025-03-07,32.25,32.28,30.94,31.1,594195.0,-3.5061
2025-03-10,31.0,31.2,30.54,31.03,341612.0,-0.2251
2025-03-11,30.34,30.88,30.29,30.74,363857.0,-0.9346
2025-03-12,31.02,31.6,30.71,30.88,403126.0,0.4554
2025-03-13,30.65,30.91,29.9,30.15,362212.0,-2.364
2025-03-14,30.15,31.8,29.97,31.59,673599.0,4.7761
2025-03-17,31.55,31.56,30.94,31.01,357752.0,-1.836
2025-03-18,31.4,31.5,30.8,30.95,289458.0,-0.1935
2025-03-19,30.82,30.99,30.45,30.63,257043.0,-1.0339
2025-03-20,30.55,30.95,30.13,30.16,411434.0,-1.5344
2025-03-21,29.95,30.19,29.16,29.21,410914.0,-3.1499
2025-03-24,29.21,29.39,28.5,29.06,349080.0,-0.5135
2025-03-25,29.0,29.42,28.75,28.88,230823.0,-0.6194
2025-03-26,28.9,29.08,28.76,28.9,186253.0,0.0693
2025-03-27,28.83,29.33,28.54,28.9,255496.0,0.0
2025-03-28,29.0,29.07,28.78,28.82,173312.0,-0.2768
2025-03-31,27.78,28.15,27.49,27.94,374563.0,-3.0534
2025-04-01,28.11,28.18,27.49,27.51,286042.0,-1.539
2025-04-02,27.45,27.97,27.4,27.75,184011.0,0.8724
2025-04-03,27.45,27.97,27.4,27.46,193310.0,-1.045
2025-04-07,25.2,26.23,24.7,24.7,471507.0,-10.051
2025-04-08,24.96,24.96,23.51,24.15,600757.0,-2.2267
2025-04-09,23.77,25.11,23.4,25.11,523407.0,3.9752
2025-04-10,26.05,26.11,25.46,25.53,401325.0,1.6726
2025-04-11,25.61,25.95,25.38,25.73,281800.0,0.7834
2025-04-14,26.0,26.69,25.91,25.97,279119.0,0.9328
2025-04-15,25.92,26.05,25.53,25.74,160125.0,-0.8856
2025-04-16,25.72,25.75,25.17,25.56,186256.0,-0.6993
2025-04-17,25.4,25.8,25.32,25.63,170673.0,0.2739
2025-04-18,25.51,25.7,25.33,25.51,122483.0,-0.4682
2025-04-21,25.47,25.95,25.25,25.92,178626.0,1.6072
2025-04-22,25.9,26.12,25.72,25.8,184935.0,-0.463
2025-04-23,26.1,26.45,25.86,26.13,293856.0,1.2791
2025-04-24,26.14,26.41,25.62,25.64,251363.0,-1.8752
2025-04-25,25.73,25.98,25.6,25.75,194964.0,0.429
2025-04-28,25.75,25.92,25.18,25.2,218191.0,-2.1359
2025-04-29,25.11,25.55,25.04,25.32,152083.0,0.4762
2025-04-30,25.39,25.96,25.28,25.85,231342.0,2.0932
2025-05-06,26.28,26.67,26.19,26.58,294140.0,2.824
2025-05-07,27.64,27.84,26.38,26.59,446855.0,0.0376
2025-05-08,26.5,26.71,26.35,26.62,214879.0,0.1128
2025-05-09,26.61,26.61,25.93,25.98,197294.0,-2.4042
2025-05-12,26.34,27.1,26.21,27.0,324569.0,3.9261
2025-05-13,27.2,27.22,26.58,26.58,239553.0,-1.5556
2025-05-14,26.52,27.84,26.23,27.3,476214.0,2.7088
2025-05-15,27.07,27.07,26.4,26.44,280417.0,-3.1502
2025-05-16,26.3,26.44,26.15,26.32,157090.0,-0.4539
2025-05-19,26.16,26.25,25.68,26.03,177237.0,-1.1018
2025-05-20,26.15,26.24,25.95,26.13,120368.0,0.3842
2025-05-21,26.24,26.63,26.16,26.39,187655.0,0.995
2025-05-22,26.32,26.35,26.0,26.04,133113.0,-1.3263
2025-05-23,26.05,26.09,25.4,25.4,202450.0,-2.4578
2025-05-26,25.39,25.51,25.18,25.51,125584.0,0.4331
2025-05-27,25.4,25.4,25.21,25.24,100269.0,-1.0584
